,Daily Cost of Bus,Daily Number of Riders,Ticket Price
492,400,30,12.50
493,400,35,12.50
494,400,40,12.50
495,400,45,12.50
496,400,50,12.50
497,400,55,12.50
498,400,60,12.50
499,400,65,12.50
500,400,70,12.50
501,400,75,12.50
502,400,80,12.50
503,400,85,12.50
504,400,90,12.50
505,400,95,12.50
506,400,100,12.50
507,400,105,12.50
508,400,110,12.50
509,400,115,12.50
510,400,120,12.50
511,400,125,12.50
512,400,130,12.50
513,400,135,12.50
514,400,140,12.50
515,400,145,12.50
516,400,150,12.50
517,400,155,12.50
518,400,160,12.50
519,400,165,12.50
520,400,170,12.50
521,400,175,12.50
522,400,180,12.50
523,400,185,12.50
524,400,190,12.50
525,400,195,12.50
526,400,200,12.50
527,400,205,12.50
528,400,210,12.50
529,400,215,12.50
530,400,220,12.50
531,400,225,12.50
532,400,230,12.50
533,400,235,12.50
534,400,240,12.50
535,400,245,12.50
536,400,250,12.50
537,400,255,12.50
538,400,260,12.50
539,400,20,13.00
540,400,25,13.00
541,400,30,13.00
542,400,35,13.00
543,400,40,13.00
544,400,45,13.00
545,400,50,13.00
546,400,55,13.00
547,400,60,13.00
548,400,65,13.00
549,400,70,13.00
550,400,75,13.00
551,400,80,13.00
552,400,85,13.00
553,400,90,13.00
554,400,95,13.00
555,400,100,13.00
556,400,105,13.00
557,400,110,13.00
558,400,115,13.00
559,400,120,13.00
560,400,125,13.00
561,400,130,13.00
562,400,135,13.00
563,400,140,13.00
564,400,145,13.00
565,400,150,13.00
566,400,155,13.00
567,400,160,13.00
568,400,165,13.00
569,400,170,13.00
570,400,175,13.00
571,400,180,13.00
572,400,185,13.00
573,400,190,13.00
574,400,195,13.00
575,400,200,13.00
576,400,205,13.00
577,400,210,13.00
578,400,215,13.00
579,400,220,13.00
580,400,225,13.00
581,400,230,13.00
582,400,235,13.00
583,400,240,13.00
584,400,245,13.00
585,400,250,13.00
586,400,255,13.00
587,400,260,13.00
588,400,20,13.50
589,400,25,13.50
590,400,30,13.50
591,400,35,13.50
592,400,40,13.50
593,400,45,13.50
594,400,50,13.50
595,400,55,13.50
596,400,60,13.50
597,400,65,13.50
598,400,70,13.50
599,400,75,13.50
600,400,80,13.50
601,400,85,13.50
602,400,90,13.50
603,400,95,13.50
604,400,100,13.50
605,400,105,13.50
606,400,110,13.50
607,400,115,13.50
608,400,120,13.50
609,400,125,13.50
610,400,130,13.50
611,400,135,13.50
612,400,140,13.50
613,400,145,13.50
614,400,150,13.50
615,400,155,13.50
616,400,160,13.50
617,400,165,13.50
618,400,170,13.50
619,400,175,13.50
620,400,180,13.50
621,400,185,13.50
622,400,190,13.50
623,400,195,13.50
624,400,200,13.50
625,400,205,13.50
626,400,210,13.50
627,400,215,13.50
628,400,220,13.50
629,400,225,13.50
630,400,230,13.50
631,400,235,13.50
632,400,240,13.50
633,400,245,13.50
634,400,250,13.50
635,400,255,13.50
636,400,260,13.50
637,400,20,14.00
638,400,25,14.00
639,400,30,14.00
640,400,35,14.00
641,400,40,14.00
642,400,45,14.00
643,400,50,14.00
644,400,55,14.00
645,400,60,14.00
646,400,65,14.00
647,400,70,14.00
648,400,75,14.00
649,400,80,14.00
650,400,85,14.00
651,400,90,14.00
652,400,95,14.00
653,400,100,14.00
654,400,105,14.00
655,400,110,14.00
656,400,115,14.00
657,400,120,14.00
658,400,125,14.00
659,400,130,14.00
660,400,135,14.00
661,400,140,14.00
662,400,145,14.00
663,400,150,14.00
664,400,155,14.00
665,400,160,14.00
666,400,165,14.00
667,400,170,14.00
668,400,175,14.00
669,400,180,14.00
670,400,185,14.00
671,400,190,14.00
672,400,195,14.00
673,400,200,14.00
674,400,205,14.00
675,400,210,14.00
676,400,215,14.00
677,400,220,14.00
678,400,225,14.00
679,400,230,14.00
680,400,235,14.00
681,400,240,14.00
682,400,245,14.00
683,400,250,14.00
684,400,255,14.00
685,400,260,14.00
686,400,20,14.50
687,400,25,14.50
688,400,30,14.50
689,400,35,14.50
690,400,40,14.50
691,400,45,14.50
692,400,50,14.50
693,400,55,14.50
694,400,60,14.50
695,400,65,14.50
696,400,70,14.50
697,400,75,14.50
698,400,80,14.50
699,400,85,14.50
700,400,90,14.50
701,400,95,14.50
702,400,100,14.50
703,400,105,14.50
704,400,110,14.50
705,400,115,14.50
706,400,120,14.50
707,400,125,14.50
708,400,130,14.50
709,400,135,14.50
710,400,140,14.50
711,400,145,14.50
712,400,150,14.50
713,400,155,14.50
714,400,160,14.50
715,400,165,14.50
716,400,170,14.50
717,400,175,14.50
718,400,180,14.50
719,400,185,14.50
720,400,190,14.50
721,400,195,14.50
722,400,200,14.50
723,400,205,14.50
724,400,210,14.50
725,400,215,14.50
726,400,220,14.50
727,400,225,14.50
728,400,230,14.50
729,400,235,14.50
730,400,240,14.50
731,400,245,14.50
732,400,250,14.50
733,400,255,14.50
734,400,260,14.50
735,400,20,15.00
736,400,25,15.00
737,400,30,15.00
738,400,35,15.00
739,400,40,15.00
740,400,45,15.00
741,400,50,15.00
742,400,55,15.00
743,400,60,15.00
744,400,65,15.00
745,400,70,15.00
746,400,75,15.00
747,400,80,15.00
748,400,85,15.00
749,400,90,15.00
750,400,95,15.00
751,400,100,15.00
752,400,105,15.00
753,400,110,15.00
754,400,115,15.00
755,400,120,15.00
756,400,125,15.00
757,400,130,15.00
758,400,135,15.00
759,400,140,15.00
760,400,145,15.00
761,400,150,15.00
762,400,155,15.00
763,400,160,15.00
764,400,165,15.00
765,400,170,15.00
766,400,175,15.00
767,400,180,15.00
768,400,185,15.00
769,400,190,15.00
770,400,195,15.00
771,400,200,15.00
772,400,205,15.00
773,400,210,15.00
774,400,215,15.00
775,400,220,15.00
776,400,225,15.00
777,400,230,15.00
778,400,235,15.00
779,400,240,15.00
780,400,245,15.00
781,400,250,15.00
782,400,255,15.00
783,400,260,15.00
784,400,20,15.50
785,400,25,15.50
786,400,30,15.50
787,400,35,15.50
788,400,40,15.50
789,400,45,15.50
790,400,50,15.50
791,400,55,15.50
792,400,60,15.50
793,400,65,15.50
794,400,70,15.50
795,400,75,15.50
796,400,80,15.50
797,400,85,15.50
798,400,90,15.50
799,400,95,15.50
800,400,100,15.50
801,400,105,15.50
802,400,110,15.50
803,400,115,15.50
804,400,120,15.50
805,400,125,15.50
806,400,130,15.50
807,400,135,15.50
808,400,140,15.50
809,400,145,15.50
810,400,150,15.50
811,400,155,15.50
812,400,160,15.50
813,400,165,15.50
814,400,170,15.50
815,400,175,15.50
816,400,180,15.50
817,400,185,15.50
818,400,190,15.50
819,400,195,15.50
820,400,200,15.50
821,400,205,15.50
822,400,210,15.50
823,400,215,15.50
824,400,220,15.50
825,400,225,15.50
826,400,230,15.50
827,400,235,15.50
828,400,240,15.50
829,400,245,15.50
830,400,250,15.50
831,400,255,15.50
832,400,260,15.50
833,400,20,16.00
834,400,25,16.00
835,400,30,16.00
836,400,35,16.00
837,400,40,16.00
838,400,45,16.00
839,400,50,16.00
840,400,55,16.00
841,400,60,16.00
842,400,65,16.00
843,400,70,16.00
844,400,75,16.00
845,400,80,16.00
846,400,85,16.00
847,400,90,16.00
848,400,95,16.00
849,400,100,16.00
850,400,105,16.00
851,400,110,16.00
852,400,115,16.00
853,400,120,16.00
854,400,125,16.00
855,400,130,16.00
856,400,135,16.00
857,400,140,16.00
858,400,145,16.00
859,400,150,16.00
860,400,155,16.00
861,400,160,16.00
862,400,165,16.00
863,400,170,16.00
864,400,175,16.00
865,400,180,16.00
866,400,185,16.00
867,400,190,16.00
868,400,195,16.00
869,400,200,16.00
870,400,205,16.00
871,400,210,16.00
872,400,215,16.00
873,400,220,16.00
874,400,225,16.00
875,400,230,16.00
876,400,235,16.00
877,400,240,16.00
878,400,245,16.00
879,400,250,16.00
880,400,255,16.00
881,400,260,16.00
882,400,20,16.50
883,400,25,16.50
884,400,30,16.50
885,400,35,16.50
886,400,40,16.50
887,400,45,16.50
888,400,50,16.50
889,400,55,16.50
890,400,60,16.50
891,400,65,16.50
892,400,70,16.50
893,400,75,16.50
894,400,80,16.50
895,400,85,16.50
896,400,90,16.50
897,400,95,16.50
898,400,100,16.50
899,400,105,16.50
900,400,110,16.50
901,400,115,16.50
902,400,120,16.50
903,400,125,16.50
904,400,130,16.50
905,400,135,16.50
906,400,140,16.50
907,400,145,16.50
908,400,150,16.50
909,400,155,16.50
910,400,160,16.50
911,400,165,16.50
912,400,170,16.50
913,400,175,16.50
914,400,180,16.50
915,400,185,16.50
916,400,190,16.50
917,400,195,16.50
918,400,200,16.50
919,400,205,16.50
920,400,210,16.50
921,400,215,16.50
922,400,220,16.50
923,400,225,16.50
924,400,230,16.50
925,400,235,16.50
926,400,240,16.50
927,400,245,16.50
928,400,250,16.50
929,400,255,16.50
930,400,260,16.50
931,400,20,17.00
932,400,25,17.00
933,400,30,17.00
934,400,35,17.00
935,400,40,17.00
936,400,45,17.00
937,400,50,17.00
938,400,55,17.00
939,400,60,17.00
940,400,65,17.00
941,400,70,17.00
942,400,75,17.00
943,400,80,17.00
944,400,85,17.00
945,400,90,17.00
946,400,95,17.00
947,400,100,17.00
948,400,105,17.00
949,400,110,17.00
950,400,115,17.00
951,400,120,17.00
952,400,125,17.00
953,400,130,17.00
954,400,135,17.00
955,400,140,17.00
956,400,145,17.00
957,400,150,17.00
958,400,155,17.00
959,400,160,17.00
960,400,165,17.00
961,400,170,17.00
962,400,175,17.00
963,400,180,17.00
964,400,185,17.00
965,400,190,17.00
966,400,195,17.00
967,400,200,17.00
968,400,205,17.00
969,400,210,17.00
970,400,215,17.00
971,400,220,17.00
972,400,225,17.00
973,400,230,17.00
974,400,235,17.00
975,400,240,17.00
976,400,245,17.00
977,400,250,17.00
978,400,255,17.00
979,400,260,17.00
980,400,20,17.50
981,400,25,17.50
982,400,30,17.50
983,400,35,17.50
984,400,40,17.50
985,400,45,17.50
986,400,50,17.50
987,400,55,17.50
988,400,60,17.50
989,400,65,17.50
990,400,70,17.50
991,400,75,17.50
992,400,80,17.50
993,400,85,17.50
994,400,90,17.50
995,400,95,17.50
996,400,100,17.50
997,400,105,17.50
998,400,110,17.50
999,400,115,17.50
1000,400,120,17.50
1001,400,125,17.50
1002,400,130,17.50
1003,400,135,17.50
1004,400,140,17.50
1005,400,145,17.50
1006,400,150,17.50
1007,400,155,17.50
1008,400,160,17.50
1009,400,165,17.50
1010,400,170,17.50
1011,400,175,17.50
1012,400,180,17.50
1013,400,185,17.50
1014,400,190,17.50
1015,400,195,17.50
1016,400,200,17.50
1017,400,205,17.50
1018,400,210,17.50
1019,400,215,17.50
1020,400,220,17.50
1021,400,225,17.50
1022,400,230,17.50
1023,400,235,17.50
1024,400,240,17.50
1025,400,245,17.50
1026,400,250,17.50
1027,400,255,17.50
1028,400,260,17.50
1029,400,20,18.00
1030,400,25,18.00
1031,400,30,18.00
1032,400,35,18.00
1033,400,40,18.00
1034,400,45,18.00
1035,400,50,18.00
1036,400,55,18.00
1037,400,60,18.00
1038,400,65,18.00
1039,400,70,18.00
1040,400,75,18.00
1041,400,80,18.00
1042,400,85,18.00
1043,400,90,18.00
1044,400,95,18.00
1045,400,100,18.00
1046,400,105,18.00
1047,400,110,18.00
1048,400,115,18.00
1049,400,120,18.00
1050,400,125,18.00
1051,400,130,18.00
1052,400,135,18.00
1053,400,140,18.00
1054,400,145,18.00
1055,400,150,18.00
1056,400,155,18.00
1057,400,160,18.00
1058,400,165,18.00
1059,400,170,18.00
1060,400,175,18.00
1061,400,180,18.00
1062,400,185,18.00
1063,400,190,18.00
1064,400,195,18.00
1065,400,200,18.00
1066,400,205,18.00
1067,400,210,18.00
1068,400,215,18.00
1069,400,220,18.00
1070,400,225,18.00
1071,400,230,18.00
1072,400,235,18.00
1073,400,240,18.00
1074,400,245,18.00
1075,400,250,18.00
1076,400,255,18.00
1077,400,260,18.00
1078,400,20,18.50
1079,400,25,18.50
1080,400,30,18.50
1081,400,35,18.50
1082,400,40,18.50
1083,400,45,18.50
1084,400,50,18.50
1085,400,55,18.50
1086,400,60,18.50
1087,400,65,18.50
1088,400,70,18.50
1089,400,75,18.50
1090,400,80,18.50
1091,400,85,18.50
1092,400,90,18.50
1093,400,95,18.50
1094,400,100,18.50
1095,400,105,18.50
1096,400,110,18.50
1097,400,115,18.50
1098,400,120,18.50
1099,400,125,18.50
1100,400,130,18.50
1101,400,135,18.50
1102,400,140,18.50
1103,400,145,18.50
1104,400,150,18.50
1105,400,155,18.50
1106,400,160,18.50
1107,400,165,18.50
1108,400,170,18.50
1109,400,175,18.50
1110,400,180,18.50
1111,400,185,18.50
1112,400,190,18.50
1113,400,195,18.50
1114,400,200,18.50
1115,400,205,18.50
1116,400,210,18.50
1117,400,215,18.50
1118,400,220,18.50
1119,400,225,18.50
1120,400,230,18.50
1121,400,235,18.50
1122,400,240,18.50
1123,400,245,18.50
1124,400,250,18.50
1125,400,255,18.50
1126,400,260,18.50
1127,400,20,19.00
1128,400,25,19.00
1129,400,30,19.00
1130,400,35,19.00
1131,400,40,19.00
1132,400,45,19.00
1133,400,50,19.00
1134,400,55,19.00
1135,400,60,19.00
1136,400,65,19.00
1137,400,70,19.00
1138,400,75,19.00
1139,400,80,19.00
1140,400,85,19.00
1141,400,90,19.00
1142,400,95,19.00
1143,400,100,19.00
1144,400,105,19.00
1145,400,110,19.00
1146,400,115,19.00
1147,400,120,19.00
1148,400,125,19.00
1149,400,130,19.00
1150,400,135,19.00
1151,400,140,19.00
1152,400,145,19.00
1153,400,150,19.00
1154,400,155,19.00
1155,400,160,19.00
1156,400,165,19.00
1157,400,170,19.00
1158,400,175,19.00
1159,400,180,19.00
1160,400,185,19.00
1161,400,190,19.00
1162,400,195,19.00
1163,400,200,19.00
1164,400,205,19.00
1165,400,210,19.00
1166,400,215,19.00
1167,400,220,19.00
1168,400,225,19.00
1169,400,230,19.00
1170,400,235,19.00
1171,400,240,19.00
1172,400,245,19.00
1173,400,250,19.00
1174,400,255,19.00
1175,400,260,19.00
1176,400,20,19.50
1177,400,25,19.50
1178,400,30,19.50
1179,400,35,19.50
1180,400,40,19.50
1181,400,45,19.50
1182,400,50,19.50
1183,400,55,19.50
1184,400,60,19.50
1185,400,65,19.50
1186,400,70,19.50
1187,400,75,19.50
1188,400,80,19.50
1189,400,85,19.50
1190,400,90,19.50
1191,400,95,19.50
1192,400,100,19.50
1193,400,105,19.50
1194,400,110,19.50
1195,400,115,19.50
1196,400,120,19.50
1197,400,125,19.50
1198,400,130,19.50
1199,400,135,19.50
1200,400,140,19.50
1201,400,145,19.50
1202,400,150,19.50
1203,400,155,19.50
1204,400,160,19.50
1205,400,165,19.50
1206,400,170,19.50
1207,400,175,19.50
1208,400,180,19.50
1209,400,185,19.50
1210,400,190,19.50
1211,400,195,19.50
1212,400,200,19.50
1213,400,205,19.50
1214,400,210,19.50
1215,400,215,19.50
1216,400,220,19.50
1217,400,225,19.50
1218,400,230,19.50
1219,400,235,19.50
1220,400,240,19.50
1221,400,245,19.50
1222,400,250,19.50
1223,400,255,19.50
1224,400,260,19.50
1225,400,20,20.00
1226,400,25,20.00
1227,400,30,20.00
1228,400,35,20.00
1229,400,40,20.00
1230,400,45,20.00
1231,400,50,20.00
1232,400,55,20.00
1233,400,60,20.00
1234,400,65,20.00
1235,400,70,20.00
1236,400,75,20.00
1237,400,80,20.00
1238,400,85,20.00
1239,400,90,20.00
1240,400,95,20.00
1241,400,100,20.00
1242,400,105,20.00
1243,400,110,20.00
1244,400,115,20.00
1245,400,120,20.00
1246,400,125,20.00
1247,400,130,20.00
1248,400,135,20.00
1249,400,140,20.00
1250,400,145,20.00
1251,400,150,20.00
1252,400,155,20.00
1253,400,160,20.00
1254,400,165,20.00
1255,400,170,20.00
1256,400,175,20.00
1257,400,180,20.00
1258,400,185,20.00
1259,400,190,20.00
1260,400,195,20.00
1261,400,200,20.00
1262,400,205,20.00
1263,400,210,20.00
1264,400,215,20.00
1265,400,220,20.00
1266,400,225,20.00
1267,400,230,20.00
1268,400,235,20.00
1269,400,240,20.00
1270,400,245,20.00
1271,400,250,20.00
1272,400,255,20.00
1273,400,260,20.00
1274,400,20,20.50
1275,400,25,20.50
1276,400,30,20.50
1277,400,35,20.50
1278,400,40,20.50
1279,400,45,20.50
1280,400,50,20.50
1281,400,55,20.50
1282,400,60,20.50
1283,400,65,20.50
1284,400,70,20.50
1285,400,75,20.50
1286,400,80,20.50
1287,400,85,20.50
1288,400,90,20.50
1289,400,95,20.50
1290,400,100,20.50
1291,400,105,20.50
1292,400,110,20.50
1293,400,115,20.50
1294,400,120,20.50
1295,400,125,20.50
1296,400,130,20.50
1297,400,135,20.50
1298,400,140,20.50
1299,400,145,20.50
1300,400,150,20.50
1301,400,155,20.50
1302,400,160,20.50
1303,400,165,20.50
1304,400,170,20.50
1305,400,175,20.50
1306,400,180,20.50
1307,400,185,20.50
1308,400,190,20.50
1309,400,195,20.50
1310,400,200,20.50
1311,400,205,20.50
1312,400,210,20.50
1313,400,215,20.50
1314,400,220,20.50
1315,400,225,20.50
1316,400,230,20.50
1317,400,235,20.50
1318,400,240,20.50
1319,400,245,20.50
1320,400,250,20.50
1321,400,255,20.50
1322,400,260,20.50
1323,400,20,21.00
1324,400,25,21.00
1325,400,30,21.00
1326,400,35,21.00
1327,400,40,21.00
1328,400,45,21.00
1329,400,50,21.00
1330,400,55,21.00
1331,400,60,21.00
1332,400,65,21.00
1333,400,70,21.00
1334,400,75,21.00
1335,400,80,21.00
1336,400,85,21.00
1337,400,90,21.00
1338,400,95,21.00
1339,400,100,21.00
1340,400,105,21.00
1341,400,110,21.00
1342,400,115,21.00
1343,400,120,21.00
1344,400,125,21.00
1345,400,130,21.00
1346,400,135,21.00
1347,400,140,21.00
1348,400,145,21.00
1349,400,150,21.00
1350,400,155,21.00
1351,400,160,21.00
1352,400,165,21.00
1353,400,170,21.00
1354,400,175,21.00
1355,400,180,21.00
1356,400,185,21.00
1357,400,190,21.00
